aberration,straying away from what is normal
infuriate,fill with fury or rage
aggravate,make worse; irritate
tractable,easily controlled or guided
odor,smell
edify,instruct; correct morally
refine,make or become pure cultural
inclined,directing the mind in a certain direction
grievous,causing grief or pain; serious dire grave
woo,try to win
precursors,a person or thing that precedes, as in a process or job."
recuperate,become strong after illness loss exhaustion
gerontocracy,government ruled by old people
asterisk,the mark * (e.g.. omitted letters)
heterogeneous,made up of different kinds
divergence,getting farther apart from a point
ingest,take in by swallowing
ambidextrous,able to use the left hand or the right equally well
suffice,be enough
gallant,brave,behaves well with women"
auxiliary,helping; supporting
permeate,spread into every part of
satiate,satisfy fully
recitals,a number of performance of music
vivacious,lively high-spirited
judicious,sound in judgment; wise
allegiance,duty support loyalty
surcharge,additional load/charge
appease,make quiet or calm
malevolent,malicious; evil; having or showing ill will
misanthrope,person who hates mankind
spear,weapon with a metal point on a long shaft
mesmerize,hypnotize
agile,active; quick-moving
dangle,hand or swing loosely
abysmal,extreme bad
chortle,loud chuckle of pleasure or amusement
evoke,call up bring out
indistinct,not easily heard; seen clearly marked
ail,to cause pain, uneasiness, or trouble to."
lampoon,publicly mock or ridicule
boisterous,noisy; restraint
embezzle,use in a wrong way for one's own benefit
retrospective,Looking back on past
salvage,the saving of property from loss
disproof,proof to the contrary
clientele,customers
beguile,mislead or delude; cheat; pass time
stride,walk with long steps
parenthesis,sentence within another one something separated
luminary,star; light-giving body
accolade,praise; approval
sluggard,lazy slow-moving person
endorse,write one's name on the back of
hospitable,liking to give hospitality
ameliorate,improve; make better
alleviate,make (pain) easier to bear
commuter,person who travels regularly
implosion,collapse; bursting inward
bogus,sham; counterfeit; not genuine
scribble,write hastily
negligent,taking too little care
enduring,lasting
incongruous,out of place; not in harmony or agreement
introspection,examining one's own thoughts and feelings
timid,shy easily frightened
tadpole,form of a frog when it leaves the egg
suffocate,cause or have difficulty in breathing
extralegal,outside the law
mischievous,harmful; causing mischief
predominate,have more power than others
forgery,counterfeit
buoyant,able to float; light-hearted
catalyst,substance that causes speeding up
meticulous,giving great attention to details
animosity,strong dislike
patron,regular customer person who gives support
complaisant,trying to please; obliging
articulate,speak distinctly; connect by joints
cumbersome,burdensome; heavy and awkward to carry
malleable,yielding easily shaped; moldable; adapting
disrobe,undress
partisan,one-sided committed to a party biased or prejudiced
implicit,implied though; not plainly expressed
introvert,one who turns towards himself
elaborate,worked out with much care in great detail
stray,wander lose one's way
abscond,to go away suddenly (to avoid arrest)
jabber,talk excitedly; utter rapidly
knit,draw together; unite firmly
calipers,metal supports attached to the legs measuring instrument
encapsulate,enclose in capsule
foolproof,incapable of failure or error
cryptic,secret with a hidden meaning
Lambaste,attack verbally
constrict,make tight or smaller
loll,rest to sit or stand in a lazy way hang (dog's tongue)
benefactor,person who has given help
poseur,a person who attempts to impress by acting unlike himself
drowsiness,feeling sleepy half asleep
turmoil,trouble disturbance
perjury,willful FALSE statement unlawful act
colloquial,involving or using conversation.
connote,Suggest or imply in addition to the precise, literal meaning"
impermeable,that cannot be permeated
torque,twisting force causing rotation
dote,show much fondness center one's attention
immutable,that cannot be changed
affable,polite and friendly
treacherous,not to be trusted, perfidious"
engulf,swallow up
equilibrium,state of being balanced
adorn,add beauty; decorate
apartheid,brutal racial discrimination
weigh,measure how heavy something is
braggart,boastful
chisel,steel tool for shaping materials
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
volatile,changeable inconstant fickle unstable explosive
plea,request
shallow,little depth; not earnest
brittle,easily broken
yarn,tale story fibers for knitting
scent,smell (especially pleasant)
steeply,rising or falling sharply
presentiment,anticipatory fear; premonition
arrogance,proud; superior manner of behaviour
pertain,belong as a part have reference
evasive,tending to evade
curriculum,course of study
perish,be destroyed decay
turbulence,being uncontrollably violent
coagulation,change to a thick and solid state
fission,splitting or division (esp. of cells)
dwarf,person much smaller the usual size
sequence,succession connected line of
yeoman,man owning small estate; middle-class farmer
warrant,authority written order guarantee
antidote,medicine used against a poison or a disease
entice,attract, lure"
fragrant,sweet-smelling
dislodge,move force from the place occupied
premature,doing or happening something before the right time
defer,postpone
enzyme,catalyst
impromptu,without preparation
audacious,Bold
nihilism,total rejection of all religious and moral beliefs
concur,agree in opinion happen together
relapse,fall back again
correlate,have a mutual relation
flimsy,lacking solidarity, strength"
conceal,hide keep secret
endeavor,to make an effort, to try very hard"
resuscitation,coming back to consciousness
invincible,too strong to be defeated
repulsive,causing a feeling of disgust
superimpose,put something on the top
enigma,something that is puzzling
tonic,something giving strength or energy
sophisticated,complex; subtle; refined
paradigm,a model example or pattern
dullard,a stupid, insensitive person"
alloy,to debase by mixing with something inferior
sanity,health of mind soundness of judgment
connoisseur,a person with good judgement (e.g.. in art)
skit,short piece of humorous writing
legacy,Bequest or inheritance
sawdust,tiny bits of wood
succumb,yield, die"
adulteration,making unpure; poorer in quality
eulogy,formal praise panegyric
conjoin,to join together
anguish,severe suffering
reconcile,settle a quarrel restore peace
renovate,restore something to better condition
pluck,pull the feathers off pick (e.g.. flowers)
sheath,cover for the blade of a weapon or a tool
renowned,celebrated; famous
rejuvenation,becoming young in nature or appearance
brass,yellow metal (mixing copper and zinc)
derivative,unoriginal; obtained from another source
acclaimed,welcomed with shouts and approval
pivotal,of great importance (others depend on it)
flop,fail/move/fall clumsily
gait,a manner of walking, stepping, or running"
abhor,to hate; to detest
unscathed,unharmed unhurt
fidelity,loyalty accuracy
eradicate,get rid of pull up by the roots
cordial,warm and sincere
fragile,easily injured broken or destroyed
redeem,get back by payment compensate
extinguish,end the existence of/wipe or put out
dexterity,skill (esp. in handling)
sadistic,Cruel
ambivalent,having both of two contrary meanings
arcane,known or understood by very few
strive,to make great efforts, to struggle"
pest,destructive thing or a person who is nuisance
impede,hinder; get in the way of
misogynist,one who hates women/females
indulgent,inclined to indulge
hypocrisy,falsely making oneself appear to be good
foster,nurture; care for
reminiscent,suggest something in the past
mite,A very small amount, portion, or particle"
apt,well-suited; quick-witted
bewilder,puzzle; confuse
ambiguous,doubtful; uncertain
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
